"CIP7";"Dosage";"Unites"
5557753;"1000mg";10
5559545;"1500000UI";1
5560531;"400mg";1
5560548;"100mg";1
5560554;"200mg";1
5560844;"2500UIantiXa";10
5560850;"5000UIantiXa";10
5561370;"0,5mg";10
5564871;"500mg";10
5572468;"0,25mg";10
5573901;"100mL";1
5574295;"100mL";6
5575188;"500mg";1
5582455;"351600mg";6
5583207;"3MUI";100
5587837;"0,1mg";5
5588742;"5mg";10
5594866;"10mg";1
5594889;"50mg";1
5594895;"200mg";1
5595340;"2mg/mL;2,5mL";5
5595357;"2mg/mL;5mL";5
5595363;"2mg/mL;10mL";5
5595392;"5mg/mL;30mL";1
5596575;"250mL";6
5596641;"50mg";20
5597770;"10mg/mL;50mL";1
5601394;"1mg";5
5601402;"2mg";5
5601649;"5mg";5
5602761;"10mg/mL;5mL";100
5602784;"20mg/mL;5mL";100
5603588;"1000mg";10
5603594;"2000mg";10
5603619;"20mg";1
5606919;"2mg/mL;10mL";5
5608261;"500mg";100
5608309;"1000mg";1
5608338;"2000mg";2
5609355;"2mg/mL;4mL";10
5609993;"10mg/mL;20mL";5
5610016;"10mg/mL;50mL";10
5610045;"10mg/mL;100mL";10
5610364;"500mg";10
5610401;"1000mg";10
5611197;"2000mg";10
5611464;"0,01mg";5
5611470;"0,05mg";10
5614379;"2mg/mL;10mL";10
5614971;"200mg";1
5618928;"20mg";1
5618986;"5mg/mL;50mL";1
5619000;"5mg/mL;100mL";1
5619365;"50mg";1
5619394;"500mg/20mL";4
5619767;"900mg";1
5619773;"600mg";1
5620121;"100mg";10
5622002;"0,5mg";10
5622025;"0,1mg";10
5624260;"6,75mg";1
5624277;"37,5mg";1
5624432;"250mg";10
5625845;"125mg";1
5625928;"250mg";1
5625957;"500mg";1
5625986;"1000mg";1
5626218;"0,1mg";10
5626276;"0,5mg";10
5627241;"5mg/mL;1mL";10
5627258;"5mg/mL;10mL";10
5627264;"1mg/mL;5mL";10
5627838;"250mg";10
5629978;"500mg";10
5629990;"1000mg";10
5630444;"50mg/mL;2mL";10
5630591;"1000mg";12
5631395;"600mg";10
5631834;"1000mg";100
5632609;"50mg";2
5632615;"50mg";1
5632992;"1000mg";100
5633158;"250mg";10
5633371;"500mg";25
5633394;"1000mg";25
5633477;"250mg";10
5636079;"10mg/mL;20mL";5
5636116;"20mg/mL;50mL";1
5636240;"500mg";12
5636955;"1000mg";100
5638345;"5mg";10
5639675;"200mg";20
5639681;"200mg";10
5641063;"20mg/mL;50mL";1
5641235;"200mg";50
5642111;"400mg";10
5643547;"2mg/mL;4mL";50
5645121;"10mg";1
5645397;"4000mg";10
5646103;"2mg/mL;8mL";10
5647870;"500mg";100
5648711;"1mg/mL;5mL";10
5648734;"5mg/mL;1mL";10
5648740;"5mg/mL;1mL";50
5648786;"5mg/mL;10mL";10
5648970;"0,250mg";20
5649018;"0,01mg";20
5649053;"0,05mg";20
5649627;"1000mg";100
5651162;"10mg";5
5651179;"10mg/mL;2,5mL";5
5651185;"10mg/mL;5mL";5
5651268;"100mg";1
5651392;"2000mg";25
5652144;"5mg/mL;10mL";10
5652167;"1mg/mL;5mL";10
5652196;"5mg/mL;1mL";10
5653936;"10mg/mL;25mL";1
5654545;"1mg/mL;1mL";10
5657354;"2mg/mL;4mL";10
5659838;"5mg";1
5659844;"5mg";1
5661315;"125mg";1
5661321;"250mg";1
5661338;"500mg";10
5661404;"1000mg";1
5662510;"500mg";100
5669618;"20mg/mL;5mL";100
5669682;"10mg/mL;5mL";100
5672632;"500mg";100
5672678;"750mg";100
5674714;"0,250mg";10
5674789;"1ml";6
5675174;"6mg/mL;5mL";1
5675180;"6mg/mL;16,7mL";1
5675197;"6mg/mL;50mL";1
5675257;"0,01mg";10
5675323;"0,05mg";10
5680979;"2mg/mL;8mL";10
5685155;"6mg/mL;5mL";1
5685161;"6mg/mL;16,7mL";1
5685178;"6mg/mL;50mL";1
5689785;"6mg/mL;25mL";1
5695604;"5mg";1
5696443;"0,100mg";5
5699588;"6mg/mL;25mL";1
5702646;"5mg";10
5702818;"5mg";1
5704094;"1000mg";10
5704119;"2000mg";10
5704154;"500mg";10
5704160;"1000mg";10
5704183;"2000mg";10
5704734;"5mg/mL;10mL";1
5704800;"5mg/mL;20mL";1
5705283;"20mg/mL;50mL";10
5711183;"2mg/mL;5mL";1
5711214;"2mg/mL;25mL";1
5711220;"2mg/mL;100mL";1
5711384;"300mg/30mL";1
5713147;"6mg/mL;5mL";1
5713153;"6mg/mL;16,7mL";1
5713176;"6mg/mL;50mL";1
5713874;"10mg/mL;2,5mL";5
5713880;"10mg/mL;5mL";5
5713897;"10mg/mL;25mL";1
5714112;"1000mg";5
5714135;"2000mg";5
5714158;"500mg";5
5714170;"250mg";5
5714224;"1mg/mL;5mL";10
5715212;"10mg/mL;5mL";10
5717352;"10mg/mL;50mL";10
5717369;"10mg/mL;100mL";10
5717375;"6mg/mL;5mL";1
5717381;"6mg/mL;16,7mL";1
5717398;"6mg/mL;25mL";1
5717406;"6mg/mL;50mL";1
5718601;"500mg";10
5718624;"1000mg";10
5718713;"5mg/mL;10mL";1
5718736;"5mg/mL;20mL";1
5724659;"2mg/mL;5mL";1
5724671;"2mg/mL;25mL";1
5724688;"2mg/mL;50mL";1
5724694;"2mg/mL;100mL";1
5724702;"2mg/mL;200mL";1
5724808;"5mg/mL;10mL";1
5724820;"5mg/mL;20mL";1
5725162;"2mg/mL;5mL";1
5725179;"2mg/mL;10mL";1
5725185;"2mg/mL;25mL";1
5725191;"2mg/mL;50mL";1
5725222;"2mg/mL;100mL";1
5726902;"20mg/mL;2mL";1
5726919;"20mg/mL;5mL";1
5726925;"20mg/mL;15mL";1
5727072;"200mg";10
5727089;"400mg";10
5727801;"1mg/mL;1mL";10
5729332;"20mg/mL;2mL";1
5729349;"20mg/mL;5mL";1
5729409;"10mg/mL;20mL";1
5729415;"10mg/mL;50mL";1
5729421;"10mg/mL;100mL";1
5729438;"600mg";5
5729970;"1000mg";50
5732392;"5mg/mL;40mL";1
5736645;"1mg/mL;5mL";10
5736651;"5mg/mL;1mL";10
5736674;"5mg/mL;10mL";10
5737722;"200mg";50
5738199;"10mg/mL;1mL";1
5738213;"10mg/mL;5mL";1
5738621;"5mg/mL;20mL";5
5739796;"400mg";1
5742404;"6mg/mL;5mL";1
5742410;"6mg/mL;16,7mL";1
5742427;"6mg/mL;25mL";1
5742433;"6mg/mL;50mL";1
5744024;"5mg/mL;40mL";1
5744283;"20mg/mL;2mL";1
5744337;"20mg/mL;5mL";1
5746431;"20mg/mL;4mL";1
5746448;"80mg/mL;10mL";1
5746454;"80mg/mL;20mL";1
5747821;"2mg/mL;50mL";1
5748950;"20mg/mL;5mL";1
5750415;"6mg/mL;5mL";1
5750438;"6mg/mL;16,7mL";1
5750450;"6mg/mL;50mL";1
5751490;"20mg/mL;2mL";1
5751509;"20mg/mL;5mL";1
5752377;"2mg/mL;5mL";1
5752408;"2mg/mL;25mL";1
5752420;"2mg/mL;100mL";1
5753371;"20mg/mL;25mL";1
5756263;"351600mg";6
5756369;"20mg/mL;2mL";1
5756375;"20mg/mL;5mL";1
5756381;"20mg/mL;15mL";1
5756599;"5mg/mL;100mL";30
5757819;"20mg/mL;15mL";1
5757854;"20mg/mL;25mL";1
5759273;"5mg/mL;10mL";1
5759296;"5mg/mL;20mL";1
5759787;"250mg;250mg";10
5760224;"2mg/mL;5mL";1
5760230;"2mg/mL;10mL";1
5760247;"2mg/mL;25mL";1
5760253;"2mg/mL;100mL";1
5764216;"500mg;500mg";10
5767976;"20mg/mL;15mL";1
5767982;"20mg/mL;25mL";1
5768415;"5mg/mL;10mL";1
5768421;"5mg/mL;20mL";1
5769308;"400mg";5
5769455;"50mg/mL;2mL";10
5769805;"500mg;500mg";10
5770122;"250mg;250mg";10
5770151;"500mg;500mg";10
5770530;"10mg";1
5770547;"50mg";1
5772351;"20mg";5
5772836;"1mg";10
5772894;"2mg";10
5772954;"5mg";10
5776774;"0,5mg";1
5776797;"1,5mg";1
5778603;"500mg;500mg";10
5779169;"1mg";5
5779181;"2mg";5
5779206;"5mg";5
5781901;"1mg/mL;50mL";12
5784549;"100mg";5
5784578;"200mg";5
5784609;"400mg";5
5785299;"50mg";10
5785419;"250mg";10
5785460;"500mg";10
5788085;"6mg/mL;5mL";1
5788091;"6mg/mL;16,7mL";1
5788116;"6mg/mL;50mL";1
5788642;"250mg";10
5790834;"500mg";10
5790923;"1000mg";10
5790975;"2000mg";10
5791093;"20mg/mL;15mL";1
5791532;"200mg";1
5792313;"250mg";10
5795292;"500mg";10
5795317;"1mg";5
5795323;"2mg";5
5795346;"5mg";5
5795352;"1000mg";10
5795464;"5mg/mL;40mL";1
5795725;"500mg";100
5795760;"10mg/mL;5mL";10
5797256;"6mg/mL;25mL";1
5797262;"6mg/mL;100mL";1
5800745;"500mg";10
5800780;"1000mg";10
5803413;"5mg/mL;10mL";1
5803436;"5mg/mL;20mL";1
5803442;"5mg/mL;40mL";1
5803666;"5mg/mL;40mL";1
5804157;"250mg";1
5804447;"500mg";50
5811074;"2mg/mL;300mL";10
5812205;"1000mg";10
5812843;"1mg/mL;100mL";10
5813179;"50mg";1
5813216;"200mg";1
5815735;"1000mg";30
5815882;"5mg/mL;50mL";10
5815907;"5mg/mL;100mL";10
5821061;"200mg";30
5821813;"1000mg";100
5824929;"1000mg";20
5825426;"0,1mg/mL;2mL";25
5829507;"500mg";10
5830752;"500mg";10
5830812;"1000mg";10
5834106;"1000mg";40
5834112;"1000mg";40
5837748;"200mg";30
5839799;"50mg";5
5839807;"250mg";5
5845937;"0.5mg/mL;50mL";12
5845989;"1mg/mL;50mL";12
5849473;"10mg/mL;20mL";5
5849645;"0,400mg";16
5849668;"0,400mg";16
5854132;"6,75mg";1
5854149;"37,5mg";1
5854623;"2mg/mL;2,5mL";5
5854652;"2mg/mL;5mL";5
5854675;"2mg/mL;10mL";5
5854681;"5mg/mL;30mL";1
5856042;"62,5mg";56
5856102;"125mg";56
5856409;"100mg";10
5861712;"500mg";10
5867749;"6mg/mL;25mL";1
5867755;"6mg/mL;100mL";1
5868571;"5mg/mL;10mL";1
5869688;"500mg";30
5869837;"100mg";10
5869866;"500mg";5
5871691;"500mg";100
9999997;"200mg;50mg";120
9999998;"20mg/mL;80mg/mL;60mL";5
9999999;"5mg/mL;10mL";1
9999995;"0,1mg/mL;2mL";5
9999996;"0,1mg/mL;2mL";25
