"CIP7";"Forme_long";"DCI_long";"Laboratoire";"CIP13";"CIS";"Specialite";"Presentation";"Stock";"Ventes.S.1";"Conso.usuelle";"Appro.S15";"Appro.S16";"Appro.S17";"Appro.S18";"Appro.S19";"Appro.S20";"Appro.S21";"Date";"Ventes.J.1";"Appro.S22";"Appro.S23";"Ventes.mensuelles";"DCI";"Forme";"Dosage_wrong";"Unites_wrong";"Dosage";"Unites";"Dose_mg";"Equiv_Factor";"Stock_U";"Ventes.J.1_U";"Stock_U_equiv"
3012708;"comprimé pelliculé";"DARUNAVIR";"EG LABO";"3400930127087";"68493158";"DARUNAVIR EG 600 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 60 comprimé(s)";340;"7";"27.2857142857143";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"DARUNAVIR";"Forme orale sèche";"600mg";60;"600mg";60;600;8;20400;NA;163200
3012755;"comprimé pelliculé";"DARUNAVIR";"SANDOZ";"3400930127551";"60860061";"DARUNAVIR SANDOZ 400 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 60 comprimé(s)";482;"8";"41.5";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"DARUNAVIR";"Forme orale sèche";"400mg";60;"400mg";60;400;5.33333333333333;28920;NA;154240
3012761;"comprimé pelliculé";"DARUNAVIR";"SANDOZ";"3400930127612";"68175216";"DARUNAVIR SANDOZ 600 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 60 comprimé(s)";2034;"53";"364.25";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"DARUNAVIR";"Forme orale sèche";"600mg";60;"600mg";60;600;8;122040;NA;976320
3012766;"comprimé pelliculé";"DARUNAVIR";"SANDOZ";"3400930127667";"66824474";"DARUNAVIR SANDOZ 800 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 30 comprimé(s)";5851;"144";"1603.5";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"DARUNAVIR";"Forme orale sèche";"800mg";30;"800mg";30;800;10.6666666666667;175530;NA;1872320
3013573;"comprimé à sucer";"RESINATE DE NICOTINE";"JOHNSON & JOHNSON SANTE BEAUTE FRANCE";"3400930135730";"68617549";"NICORETTE FRUITS 2 mg, comprimé à sucer";"4 tube(s) polypropylène de 20 comprimé(s)";63;"-24";"1217";NA;NA;NA;NA;"0";"2528";"0";2020-05-04;NA;"0";"0";NA;"NICOTINE";"Forme orale sèche";"2mg";80;"2mg";80;2;2;5040;NA;10080
3013573;"Comprimé à sucer";"NICOTINE";"JOHNSON & JOHNSON SANTE BEAUTE FRANCE";"3400930135730";"68617549";"NICORETTE FRUITS 2 mg, comprimé à sucer";"4 tube(s) polypropylène de 20 comprimé(s)";153;"0.0866294588692065";"1766.14285714286";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"4375";NA;NA;"NICOTINE";"Forme orale sèche";"2 mg";80;"2mg";80;2;2;12240;NA;24480
3013573;"comprimé à sucer";"RÉSINATE DE NICOTINE";"JOHNSON & JOHNSON SANTE BEAUTE FRANCE";"3400930135730";"68617549";"NICORETTE FRUITS 2 mg, comprimé à sucer";"4 tube(s) polypropylène de 20 comprimé(s)";153;"6";"1217";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"4375";NA;NA;"NICOTINE";"Forme orale sèche";"2mg";4;"2mg";80;2;2;12240;NA;24480
3013734;"comprimé dispersible";"AMOXICILLINE TRIHYDRATEE";"MYLAN";"3400930137345";"69166540";"AMOXICILLINE ARROW LAB 1 g, comprimé dispersible";"plaquette(s) PVC PVDC aluminium de 30 comprimé(s)";0;"0";"0";NA;NA;NA;NA;"0";"0";"0";2020-04-23;NA;"0";"0";NA;"AMOXICILLINE";"Forme buvable";"1000mg";30;"1000mg";30;1000;8;0;NA;0
3013734;"comprimé dispersible";"AMOXICILLINE TRIHYDRATEE";"MYLAN";"3400930137345";"69166540";"AMOXICILLINE ARROW LAB 1 g, comprimé dispersible";"plaquette(s) PVC PVDC aluminium de 30 comprimé(s)";0;"0";"0";NA;NA;NA;NA;"0";"0";"0";2020-04-09;NA;"0";"0";NA;"AMOXICILLINE";"Forme buvable";"1000mg";30;"1000mg";30;1000;8;0;NA;0
3013734;"comprimé dispersible";"AMOXICILLINE TRIHYDRATEE";"MYLAN";"3400930137345";"69166540";"AMOXICILLINE ARROW LAB 1 g, comprimé dispersible";"plaquette(s) PVC PVDC aluminium de 30 comprimé(s)";0;"0";"0";NA;NA;NA;NA;"0";"0";"0";2020-04-15;NA;"0";"0";NA;"AMOXICILLINE";"Forme buvable";"1000mg";30;"1000mg";30;1000;8;0;NA;0
3013734;"comprimé dispersible";"AMOXICILLINE TRIHYDRATEE";"MYLAN";"3400930137345";"69166540";"AMOXICILLINE ARROW LAB 1 g, comprimé dispersible";"plaquette(s) PVC PVDC aluminium de 30 comprimé(s)";0;"0";"0";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"AMOXICILLINE";"Forme buvable";"1000mg";30;"1000mg";30;1000;8;0;NA;0
3013743;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137437";"60210811";"TCAPS 13 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";8688;"346";"1554";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,013mg";30;"0,013mg";30;0.013;1;260640;NA;260640
3013743;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137437";"60210811";"TCAPS 13 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";8555;"236";"1554";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;"7000";NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,013mg";30;"0,013mg";30;0.013;1;256650;NA;256650
3013743;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137437";"60210811";"TCAPS 13 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";8077;"188";"1554";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;"7000";NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,013mg";30;"0,013mg";30;0.013;1;242310;NA;242310
3013746;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137468";"61622967";"TCAPS 50 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";4430;"571";"3456";NA;NA;NA;"14000";NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,050mg";30;"0,050mg";30;0.05;3.84615384615385;132900;NA;511153.846153846
3013746;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137468";"61622967";"TCAPS 50 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";16906;"624";"3456";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,050mg";30;"0,050mg";30;0.05;3.84615384615385;507180;NA;1950692.30769231
3013746;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137468";"61622967";"TCAPS 50 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";4122;"423";"3456";NA;NA;NA;"14000";NA;NA;NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,050mg";30;"0,050mg";30;0.05;3.84615384615385;123660;NA;475615.384615385
3013750;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137505";"65033286";"TCAPS 75 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";18218;"357";"4322";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;"14000";NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,075mg";30;"0,075mg";30;0.075;5.76923076923077;546540;NA;3153115.38461538
3013750;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137505";"65033286";"TCAPS 75 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";19515;"915";"4322";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,075mg";30;"0,075mg";30;0.075;5.76923076923077;585450;NA;3377596.15384615
3013750;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137505";"65033286";"TCAPS 75 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";19265;"462";"4322";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;"14000";NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,075mg";30;"0,075mg";30;0.075;5.76923076923077;577950;NA;3334326.92307692
3013754;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137543";"60441558";"TCAPS 88 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";6468;"235";"3442";NA;NA;NA;NA;NA;"14000";NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,088mg";30;"0,088mg";30;0.088;6.76923076923077;194040;NA;1313501.53846154
3013754;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137543";"60441558";"TCAPS 88 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";6677;"748";"3442";NA;NA;NA;NA;"14000";NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,088mg";30;"0,088mg";30;0.088;6.76923076923077;200310;NA;1355944.61538462
3013754;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137543";"60441558";"TCAPS 88 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5509;"477";"3442";NA;NA;NA;NA;NA;"14000";NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,088mg";30;"0,088mg";30;0.088;6.76923076923077;165270;NA;1118750.76923077
3013757;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137574";"69288373";"TCAPS 100 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";18947;"600";"4428";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;"14000";NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,100mg";30;"0,100mg";30;0.1;7.69230769230769;568410;NA;4372384.61538462
3013757;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137574";"69288373";"TCAPS 100 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";17880;"373";"4428";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;"14000";NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,100mg";30;"0,100mg";30;0.1;7.69230769230769;536400;NA;4126153.84615385
3013757;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137574";"69288373";"TCAPS 100 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";19174;"698";"4428";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,100mg";30;"0,100mg";30;0.1;7.69230769230769;575220;NA;4424769.23076923
3013760;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137604";"62966825";"TCAPS 112 microgrammes capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";7193;"247";"2036";NA;NA;NA;NA;NA;"7000";NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,112mg";30;"0,112mg";30;0.112;8.61538461538462;215790;NA;1859113.84615385
3013760;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137604";"62966825";"TCAPS 112 microgrammes capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";7856;"318";"2036";NA;NA;NA;NA;"7000";NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,112mg";30;"0,112mg";30;0.112;8.61538461538462;235680;NA;2030473.84615385
3013760;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137604";"62966825";"TCAPS 112 microgrammes capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";7753;"299";"2036";NA;NA;NA;NA;NA;"7000";NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,112mg";30;"0,112mg";30;0.112;8.61538461538462;232590;NA;2003852.30769231
3013763;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137635";"66280072";"TCAPS 125 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5963;"442";"2386";NA;NA;NA;NA;"5000";NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,125mg";30;"0,125mg";30;0.125;9.61538461538461;178890;NA;1720096.15384615
3013763;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137635";"66280072";"TCAPS 125 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";10857;"403";"2386";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,125mg";30;"0,125mg";30;0.125;9.61538461538461;325710;NA;3131826.92307692
3013763;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137635";"66280072";"TCAPS 125 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5840;"307";"2386";NA;NA;NA;NA;"5000";NA;NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,125mg";30;"0,125mg";30;0.125;9.61538461538461;175200;NA;1684615.38461538
3013766;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137666";"61296560";"TCAPS 137 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5613;"242";"891";NA;NA;NA;NA;"7000";NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,137mg";30;"0,137mg";30;0.137;10.5384615384615;168390;NA;1774571.53846154
3013766;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137666";"61296560";"TCAPS 137 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5556;"129";"891";NA;NA;NA;NA;"7000";NA;NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,137mg";30;"0,137mg";30;0.137;10.5384615384615;166680;NA;1756550.76923077
3013766;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137666";"61296560";"TCAPS 137 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5379;"75";"891";NA;NA;NA;NA;"7000";NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,137mg";30;"0,137mg";30;0.137;10.5384615384615;161370;NA;1700591.53846154
3013769;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137697";"65845654";"TCAPS 150 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";6233;"193";"1258";NA;NA;NA;NA;"7000";NA;NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,150mg";30;"0,150mg";30;0.15;11.5384615384615;186990;NA;2157576.92307692
3013769;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137697";"65845654";"TCAPS 150 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5573;"454";"1258";NA;NA;NA;NA;"7000";NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,150mg";30;"0,150mg";30;0.15;11.5384615384615;167190;NA;1929115.38461538
3013769;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137697";"65845654";"TCAPS 150 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";6323;"136";"1258";NA;NA;NA;NA;"7000";NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,150mg";30;"0,150mg";30;0.15;11.5384615384615;189690;NA;2188730.76923077
3013772;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137727";"60320656";"TCAPS 175 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5908;"80";"611";NA;NA;NA;NA;NA;"4000";NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,175mg";30;"0,175mg";30;0.175;13.4615384615385;177240;NA;2385923.07692308
3013772;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137727";"60320656";"TCAPS 175 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5877;"95";"611";NA;NA;NA;NA;NA;"4000";NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,175mg";30;"0,175mg";30;0.175;13.4615384615385;176310;NA;2373403.84615385
3013772;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137727";"60320656";"TCAPS 175 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";5700;"32";"611";NA;NA;NA;NA;NA;"4000";NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,175mg";30;"0,175mg";30;0.175;13.4615384615385;171000;NA;2301923.07692308
3013775;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137758";"67267028";"TCAPS 200 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";4491;"2";"356";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;"3000";NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,200mg";30;"0,200mg";30;0.2;15.3846153846154;134730;NA;2072769.23076923
3013775;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137758";"67267028";"TCAPS 200 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";4560;"61";"356";NA;NA;NA;NA;"3000";NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,200mg";30;"0,200mg";30;0.2;15.3846153846154;136800;NA;2104615.38461538
3013775;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137758";"67267028";"TCAPS 200 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";4553;"17";"356";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;"3000";NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,200mg";30;"0,200mg";30;0.2;15.3846153846154;136590;NA;2101384.61538462
3013779;"capsule molle";"LEVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137796";"61819007";"TCAPS 25 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";12970;"257";"1399";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,025mg";30;"0,025mg";30;0.025;1.92307692307692;389100;NA;748269.230769231
3013779;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137796";"61819007";"TCAPS 25 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";13556;"319";"1399";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,025mg";30;"0,025mg";30;0.025;1.92307692307692;406680;NA;782076.923076923
3013779;"capsule molle";"LÉVOTHYROXINE SODIQUE";"LABORATOIRES GENEVRIER SA";"3400930137796";"61819007";"TCAPS 25 microgrammes, capsule molle";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 capsule(s)";13479;"130";"1399";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"LÉVOTHYROXINE";"Forme orale sèche";"0,025mg";30;"0,025mg";30;0.025;1.92307692307692;404370;NA;777634.615384615
3014223;"poudre pour solution injectable";"CEFTRIAXONE SODIQUE";"LABORATOIRES GERDA";"3400930142233";"68829580";"CEFTRIAXONE GERDA 2 g, poudre pour solution injectable";"10 flacon(s) en verre";941;NA;"10";NA;NA;NA;NA;NA;NA;NA;2020-05-04;0;NA;NA;NA;"CEFTRIAXONE";"Forme injectable";"2000mg";10;"2000mg";10;2000;8;9410;0;75280
3014552;"solution injectable";"TOCILIZUMAB";"ROCHE";"3400930145524";"67121308";"ROACTEMRA 162 mg, solution injectable en stylo prérempli";"4 stylos préremplis en verre de 0,9 ml";4433;"-111";NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"TOCILIZUMAB";"Forme injectable";"162mg/0,9mL";4;"162mg/0,9mL";4;162;2.025;17732;NA;35907.3
3014552;"solution injectable";"TOCILIZUMAB";"ROCHE";"3400930145524";"67121308";"ROACTEMRA 162 mg, solution injectable en stylo prérempli";"4 stylos préremplis en verre de 0,9 ml";3339;"483";"580";NA;NA;"1701";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"TOCILIZUMAB";"Forme injectable";"162mg";4;"162mg/0,9mL";4;162;2.025;13356;NA;27045.9
3014552;"solution injectable";"TOCILIZUMAB";"ROCHE";"3400930145524";"67121308";"ROACTEMRA 162 mg, solution injectable en stylo prérempli";"4 stylos préremplis en verre de 0,9 ml";4727;"316";"1300";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"TOCILIZUMAB";"Forme injectable";"162mg";4;"162mg/0,9mL";4;162;2.025;18908;NA;38288.7
3014558;"solution buvable";"PARACÉTAMOL";"UPSA SAS";"3400930145586";"63390065";"EFFERALGANMED PEDIATRIQUE 30 mg/ml, solution buvable";"1 flacon(s) polyéthylène téréphtalate avec fermeture de sécurité enfant de 90 ml  et avec seringue doseuse pour administration orale polyéthylène polystyrène";220000;"7085";"64215";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"PARACÉTAMOL";"Forme buvable";"3000mg";1;"30mg/mL";1;NA;NA;220000;NA;NA
3014692;"comprimé";"IVERMECTINE";"MYLAN";"3400930146927";"65078623";"IVERMECTINE MYLAN 3 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 4 comprimé(s)";83252;"2141";"30296.4166666667";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"IVERMECTINE";"Forme orale sèche";"3mg";4;"3mg";4;3;1;333008;NA;333008
3014697;"comprimé";"IVERMECTINE";"BIOGARAN";"3400930146972";"62026945";"IVERMECTINE BIOGARAN 3 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 4 comprimé(s)";1233;"7615";"21488";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"IVERMECTINE";"Forme orale sèche";"3mg";4;"3mg";4;3;1;4932;NA;4932
3014707;"comprimé";"IVERMECTINE";"EG LABO";"3400930147078";"69498425";"IVERMECTINE EG 3 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 4 comprimé(s)";6854;"1851";"5779";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;"22917";NA;NA;"IVERMECTINE";"Forme orale sèche";"3mg";4;"3mg";4;3;1;27416;NA;27416
3014753;"gélule";"CHLORHYDRATE DE CLINDAMYCINE";"MYLAN";"3400930147535";"68739332";"CLINDAMYCINE MYLAN 150 mg, gélule";"12 plaquette(s) PVC-Aluminium de 1 gélule(s)";11975;"156";"160.916666666667";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"CLINDAMYCINE";"Forme orale sèche";"150mg";12;"150mg";12;150;2;143700;NA;287400
3014756;"gélule";"CHLORHYDRATE DE CLINDAMYCINE";"MYLAN";"3400930147566";"69886424";"CLINDAMYCINE MYLAN 300 mg, gélule";"16 plaquette(s) PVC-Aluminium de 1 gélule(s)";57642;"793";"1676.75";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"CLINDAMYCINE";"Forme orale sèche";"300mg";16;"300mg";16;300;4;922272;NA;3689088
3014922;"gélule";"GABAPENTINE";"ZYDUS FRANCE";"3400930149225";"69869001";"GABAPENTINE ZYDUS 100 mg, gélule";"plaquettes PVC PVDC aluminium de 90 gélules";3041;"16";NA;NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"GABAPENTINE";"Forme orale sèche";"100mg";90;"100mg";90;100;1;273690;NA;273690
3014926;"gélule";"GABAPENTINE";"ZYDUS FRANCE";"3400930149263";"69962313";"GABAPENTINE ZYDUS 300 mg, gélule";"plaquette(s) PVC PVDC aluminium de 90 gélule(s)";1901;"35";NA;NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"GABAPENTINE";"Forme orale sèche";"300mg";90;"300mg";90;300;3;171090;NA;513270
3015307;"comprimé pelliculé sécable";"CHLORHYDRATE D'HYDROXYZINE";"MYLAN";"3400930153079";"69638464";"HYDROXYZINE MYLAN 25 mg, comprimé pelliculé sécable";"30 plaquette(s) PVC-Aluminium PVDC de 1 comprimé(s)";90353;"1798";"3059.41666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"HYDROXYZINE";"Forme orale sèche";"25mg";30;"25mg";30;25;1;2710590;NA;2710590
